"id","fqdn/ip","port","severity","finding","cve","cwe"
"winshock","www.maritimelimits.gouv.fr/46.18.193.141","443","OK","not vulnerable","CVE-2014-6321","CWE-94"
"RC4","www.maritimelimits.gouv.fr/46.18.193.141","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"clientsimulation-android_70","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_81","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_90","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-android_X","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-android_11_12","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-android_13_14","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-chrome_101_win10","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-chromium_137_win11","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-firefox_100_win10","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-firefox_137_win11","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-ie_8_win7","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","No connection","",""
"clientsimulation-ie_11_win7","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","TLSv1.2 DHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-ie_11_win81","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","TLSv1.2 DHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-ie_11_winphone81","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","No connection","",""
"clientsimulation-ie_11_win10","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-edge_15_win10","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-edge_101_win10_21h2","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-edge_133_win11_23h2","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-safari_184_ios_184","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-safari_154_osx_1231","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-safari_184_osx_154","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-java_7u25","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","No connection","",""
"clientsimulation-java_80442","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-java_1102","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-java_1703","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-java_2106","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-go_1178","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-libressl_336","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","TLSv1.3 TLS_CHACHA20_POLY1305_SHA256","",""
"clientsimulation-openssl_102e","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-openssl_111d","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-openssl_315","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-openssl_350","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-apple_mail_16_0","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-thunderbird_91_9","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"rating_spec","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","SSL Labs's 'SSL Server Rating Guide' (version 2009q from 2020-01-30)","",""
"rating_doc","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","https://github.com/ssllabs/research/wiki/SSL-Server-Rating-Guide","",""
"protocol_support_score","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","100","",""
"protocol_support_score_weighted","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","30","",""
"key_exchange_score","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","100","",""
"key_exchange_score_weighted","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","30","",""
"cipher_strength_score","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","90","",""
"cipher_strength_score_weighted","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","36","",""
"final_score","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","96","",""
"overall_grade","www.maritimelimits.gouv.fr/46.18.193.141","443","OK","A","",""
"grade_cap_reason_1","www.maritimelimits.gouv.fr/46.18.193.141","443","INFO","Grade capped to A. HSTS is not offered","",""
